DATE,CUSTOMER ,ADDRESS,QUANTITY ,,RATE,,
,,256 east main st ramsey,225,stone ,$13.64/ton,,
,NJ site ut,"Mullen Rd and US Highway 22 
Readington NJ",tbd,stone ,$6.06/ton,,
,NJ site ut,"Mullen Rd and US Highway 22 
Readington NJ",tbd,sand ,$12.31/ton,,
,furino,1160 state st perth amboy,10k TONS,stone ,$8.36/TON,,
,,8800 Tinicum Blvd ,13000,stone ,$20.31 / TON,,
,,Cross St & Massachusetts Ave in Lakewood.,250,sand ew ,$7.75 / TON,,
,,"503 Monroeville Rd., Swedesboro ","71,000 cy",sand FR and PN ,FR - $7.22 / TON PN - $11.97 / TON,,
,,"1964 N Blackhorse Pike, Williamstown NJ",tbd,stone ,$15.01/ton,,
,,162 WEST MAIN ST BOGOTA,,stone ,$13.57/TON,THIS IS CORRECT,
,,162 WEST MAIN ST BOGOTA,,SAND,$18.59/TON,THIS SHOULD HAVE SAID $18.59 NOT $8.59,
,,701 JOYCE KILMER RD NEW BRUNSWICK ,,stone ,$6.69/TON,,
,,577 SMITH ST PERTH AMBOY,,crushed ET,$7.20/TON,,
,,"2201 Kriebel Rd lansdale, pa",750 tons,sand,$16.36/TON,,
,,11 ROYAL RD FLEMINGTON,3K,CRUSHED ET,$10.86/TON,,
,,200 CENTRAL AVE WASHINGTON TWP,,stone ,$13.58/TON,,
,,GUYOT AVE PRINCETON,,stone ,$4.42/TON,,
,,11 ROYAL RD FLEMINGTON,,stone ,$6.95/TON,,
,,"21 CROZERVILLE RD, ASTON PA",5k,sand fr ,$13.09/TON,,
,,"796 South Main Street, West Creek, NJ 08092",1800 tons,stone ,$10.28 / TON,,
,,"796 South Main Street, West Creek, NJ 08092",180 tons,sand (EW),$3.80/TON,,
,,30 VANDYKE AVE NEW BRUNSWICK,,stone ,$6.59 / ton,,
,,30 VANDYKE AVE NEW BRUNSWICK,,sand ew ,$10.89 / ton,,
,,300 RT 537 COLTS NECK,,stone ,$11.02 / ton,,
,,314 RT 12 FLEMINGTON,,stone ,$7.20/TON,,
,,376 EVERITTSTOWN RD PITTSTOWN,,stone ,$9.53/TON,,
,,17 MAIN ST LEBANON,,stone ,$7.26/TON,,
,,"303 S WHITEHORSE PIKE WATERFORD, NJ",25K,SAND,FR $6.44/TON,,
,,"195 Cedar Bridge Road
Stafford Township, NJ 08050
",500 TONS,stone ,$10.63/TON,,
,,"195 Cedar Bridge Road
Stafford Township, NJ 08050
",500 TONS,SAND ,$3.80/TON,,
