DATE,CUSTOMER ,ADDRESS,QUANTITY ,,RATE,,
,,201 Rt 34 Colts Neck,,Stone,$11.39/TON,,
,,"1201 s collegeville rd providence twp, pa",,stone,$18.08/ton,,
,,Gordon Rd & Rt 130 Robbinsville ,,Stone,$7.98/ton,,
,,Gordon Rd & Rt 130 Robbinsville ,,Sand EW,$10.58/ton,,
,,40 Jake Brown Rd Old Bridge ,,CC ET,$5.89/ton,,
,,2046 S.Clinton Ave Trenton,,Stone ,$8.74/ton,,
,,2046 S.Clinton Ave Trenton,,Sand EW,$11.21/ton,,
,,1641 New Market St South Plainfield  ,,Stone,$7.41/ton,,
,,1641 New Market St South Plainfield  ,,SAND EW,$11.91/ton,,
,,Newark St & Harrison St Hoboken,,Stone,$11.84/ton,,
,,420 Grove Avenue West Deptford NJ.,,STONE,$13.81/ton,,
,,420 Grove Avenue West Deptford NJ.,,SAND ,FR 7.22/ton,,
,,420 Grove Avenue West Deptford NJ.,,CC ,$3.80/ton,,
,,290 Rhode Hall Rd Monroe,,stone,$7.09/ton,,
,,40 Jake Brown Rd Old Bridge,,Stone,$9.88/ton,,
,,1641 New Market St South Plainfield,,CC ET,$8.55/ton,,
,,1292 Rt 202 Branchburg,,Stone,$5.89/TON,,
,,200.5 RAMBLEWOOD PKWY. MOUNT LAUREL NJ,,stone,$11.65/TON,,
TIFFANY ELECTRIC,,"HALF ACRE RD & FORSGATE RD, JAMESBURG, NJ",1 LOAD,#57/STONE,$7.41/TON,,
,,"17 Dahlia Court bayville, nj",2 loads,stone,$10.77/ton,,
,,"8 winn rd tabernacle, nj",,sand,FR $8.61/TON,,
,,":      1344 Rt 202, Branchburg NJ 08853 ",,stone,$5.89/TON,,
,,"4501 Black Horse Pike, Mays Landing NJ 08330",,stone,$14.79/ton,,
,,"104 Cedar Swamp Road Swedesboro, NJ 08085
",,STONE,$14.76/ton,,
05/27/2025,EARLE,"148 MAIN ST., MARLBORO, NJ",1600 TONS,SAND/EW,$10.89/ton,,
,,15 WILKERSON AVE JERSEY CITY ,JETTY  3'+ HOW MANY TONS? 1 load,stone,**hermans messaged**,,
SANITARY,,"New Market Ave & New Brunswick Ave, South Plainfield, NJ 07080",,stone,$7.28/TON,,
SANITARY,,"New Market Ave & New Brunswick Ave, South Plainfield, NJ 07080",,sand,$11.84/TON,,
,,"415 Almonesson Rd, Blackwood, NJ 08012",,stone,$13.55/TON,,
FABBRI,,"108 Ferry Rd, Bridgeport, NJ 08014",,cc sh,$9.37/TON,,
FABBRI,,"108 Ferry Rd, Bridgeport, NJ 08014",,cc bl,$8.11/TON,,
FABBRI,,"108 Ferry Rd, Bridgeport, NJ 08014",,cc ph,$10.75/TON,,
SANITARY,,"WOODLAND AVE & TOMLIN STATION RD WOOLWICH, NJ",*CAME UP MULLICA HILL*,STONE,$15.96/TON,,
SANITARY,,"WOODLAND AVE & TOMLIN STATION RD WOOLWICH, NJ",*CAME UP MULLICA HILL*,SAND,FR - $6.71/TON,,
CASCADE,,"104 Cedar Swamp Road Swedesboro, NJ 08085
",,cc,WB - $4.05/TON,,
RCW,,"201 Hamilton Rd, Hillsborough NJ 08844 ",,stone,$3.93/TON,,
R.D. ZEULI,,hanover rd & pioneer lake rd-mcguire airforce base ,*DO WE NEED TO GO THROUGH CHECKPOINT 9? (YES),sand ,EW SAND - $14.21/TON,,
NJ SITE ,,"Center St & Leitz Blvd, Tuckerton, NJ 08087",,stone,$11.75/TON,,
NJ SITE ,,"Center St & Leitz Blvd, Tuckerton, NJ 08087",,sand,$3.80/TON,,
,,"2251 Route 73, Pennsauken, New Jersey 08110",,STONE,$12.54/TON,,
,,"2251 Route 73, Pennsauken, New Jersey 08110",,SAND EW,$12.98/TON,,
,,"155 Raymond Blvd, Newark NJ. ",,sand ,$15.55/ton,,
NJ SITE ,,"East Bay Avenue and Windward Drive , Manahawkin",,stone,10.67/ton,,
SANITARY,,"WOODLAND AVE & TOMLIN STATION RD WOOLWICH, NJ",,CC SH ,$9.69/ton,,
SANITARY,,"WOODLAND AVE & TOMLIN STATION RD WOOLWICH, NJ",,CC WB ,$4.31/ton,,
SANITARY,,"WOODLAND AVE & TOMLIN STATION RD WOOLWICH, NJ",,CC BL,$7.09/ton,,
SANITARY,,"WOODLAND AVE & TOMLIN STATION RD WOOLWICH, NJ",,CC PH,$11.26/ton,,
,,795 Woodlane Road Westampton NJ,,stone,$10.32/ton,,
,,"4501 Black Horse Pike, Mays Landing NJ 08330",,sand ew,EW - $8.67/ton / FR - $7.09/TON / PN  - $11.21/TON,,
,,"108 Ferry Rd, Bridgeport, NJ 08014",,cc wb,$4.94/ton,,
,,"1765 County Road 542, Egg Harbor City, NJ 08215",,stone,$13.02/ton,,
earle,,"Mifflin St, West Deptford, NJ 08086",,stone,$13.81/ton,,
,,"1640 New Market Ave
South Plainfield, NJ 07080
",,STONE,$7.41/ton,,
,,"1640 New Market Ave South Plainfield, NJ 07080
",,CC (ET),$8.69/TON,,
,,"1640 New Market Ave South Plainfield, NJ 07080
",,CC (BRICK),$11.72/TON,,
,,"1640 New Market Ave South Plainfield, NJ 07080
",,CC ,ET $8.69/TON,,
,,,,STONE,$12.26/TON,,
debex,,"3850 S Delsea Dr Suite 1, Vineland, NJ 08360.",,stone,$18.37/TON,,
,,"155 Raymond Blvd, Newark NJ. ",,stone,$11.17/TON,,
carol concrete,,"2417 old york rd bordentowm, nj",#3 2 loads,stone,$9.06/TON,,
05/30/2025,,"501 North Tuckahoe Rd, Monroe Twp, NJ 08094",,Stone,$14.99/TON,,
,,"2704 Mount Holly Rd, Burlington, NJ",,sand,$11.21/TON,,
,,,,,,,
05/30/2025,,7 ROUTE 537 COLTS NECK NJ,"3,000 TONS ",K5/SAND EW,$11.53/TON,,
,,"520 Grieves Parkway Salem, NJ 08079 ",,SAND PN ,$11.97/TON,,
06/02/2025,,"920 neugentown rd, little egg harbor, nj",,stone,$12.26/TON,,
,,"1005-T High St, Burlington, NJ 08016, USA",,Stone ,$9.88/TON,,
,,1292 Rt 202 Branchburg ,,Stone,$5.89/TON,,
,,200 Perrinville Rd Robbinsville ,,stone,$7.85/TON,,
,,"6757 Westfield Ave, Pennsauken Township, NJ 08110",,sand,$7.85/TON,,
,,Cherry Hill rd Princeton ,#288,Stone,$4.69/TON,,
,,Old water works rd Old Bridge ,#369,Stone ,$9.69/TON,,
,,Old water works rd Old Bridge ,#369,Sand Ew,$11.91/TON,,
,,Old water works rd Old Bridge ,#369,CC ET,$5.89/TON,,
,,"1321 mays landing rd hammonton, nj",,stone,$14.55/TON,,
,,155 Raymond Blvd Newark ,,Sand Ew,$15.55/TON,,
,,537 Great Rd Princeton ,,Stone,$4.18/TON,,
,,1 thunder Rd Trenton ,,Stone,$8.36/ton,,
,,1 thunder Rd Trenton ,,Sand Ew,$11.15/ton,,
,,"300 New Albany Rd, Moorestown NJ 08057",,Stone ,$11.53/ton,,
,,1 Cattail Rd Edison,,Stone ,$8.74/ton,,
,,1 Pennington Ave Trenton,Use Pennington Ave & N.Warren St Trenton,stone,$8.11/ton,,
,,"24 Roberts Dr, Westampton, NJ",,stone,$10.45/TON,,
,,390 New Hampshire Ave Lakewood NJ.,,stone,$10.88/ton,,
,,"1 thunder rd trenton, nj",,stone,$8.36/ton,,
,,"1 thunder rd trenton, nj",,sand ew,$11.15/ton,,
,,"warner ave & rutgers ave Jersey city, nj",,stone,$12.26/ton,,
,,"24 Roberts Dr, Westampton, NJ",,sand ,$11.27/TON,,
,,180 Rt 35 Eatontown,,Stone,$12.08/TON,,
,,"54 Rt 73 Winslow, New Jersey 08009
",THIS IS MAPPING AS HAMMONTON/SICKLERVILLE-PLEASE CONFIRM,stone,$14.36/TON,,
,,"54 Rt 73 Winslow, New Jersey 08009
","""",cc bl,$3.80/TON,,
,,"54 Rt 73 Winslow, New Jersey 08009
","""",cc sh,$7.41/TON,,
,,"54 Rt 73 Winslow, New Jersey 08009","""",cc wb ,$6.52/TON,,
,,"South Port Road Fairless Hills, Pennsylvania 19030",,stone,$13.65/TON,,
,,"2 foster ave flemington, nj",,sand ew,$13.68/TON,,
,,30 Alfalfa Hill Rd Milford,,Stone,$11.91/TON,,
,,"72 stony hill rd morrisville, pa",,stone,$10.79/TON,,
,,"1856 york ave williamstown, nj",,sand,$4.05/TON,,
,,30 Sleepy hollow rd Belle Mead,,Stone,$3.80/TON,,
,,30 Sleepy hollow rd Belle Mead,,Sand Ew,$10.39/TON,,
,,South ,,sand,$5.95/TON,,
,,"2571 Main Street Extension, Sayreville, NJ",,stone,$8.87/TON,,
,,110 Ryders Lane East Brunswick,,Stone ,$8.36/TON,,
,,110 Ryders Lane East Brunswick,,Sand Ew,$11.27/TON,,
,,1100 fifth Ave Neptune,,Stone ,$11.89/ton,,
,,"Watson Drive, Turnersville, NJ.",,stone,$14.61/TON,,
,,79 Prospect Ave Princeton ,,Stone,$5.07/TON,,
,,39 Emmons Dr Princeton ,,Stone,$5.83/TON,,
,,39 Emmons Dr Princeton  ,,Sand EW,$10.45/TON,,
,,39 Emmons Dr Princeton ,,CC ET,$5.76/TON,,
,,"E. Linden Ave & S. EMERSON AVELindenwold, NJ ",,stone,$13.11/TON,,
,,Fidler mill Road  & Fidler road  Woodbine Nj,,stone,$17.86/TON,,
,,Fidler mill Road  & Fidler road  Woodbine Nj,,sand,PN - $7.73/TON,,
,,577 Smith St Perth Amboy,,Stone,$8.49/TON,,
,,577 Smith St Perth Amboy,,Sand Ew,$11.53/TON,,
,,201 Bay Ave Elizabeth ,,Stone,$14.39/TON,,
,,307 Linden Logistics Way Linden ,,Stone,$10.97/TON,,
,,307 Linden Logistics Way Linden ,,Sand EW,$14.31/TON,,
,,577 Smith St Perth Amboy,"Rip rap 12""-36"". 2k tons",Stone,$20.79/ton + FSC,,
,,1004 N. Fleet St Elizabeth ,,Stone,#13.24/TON,,
,,234 Van Lieus Rd East Amwell,,Stone ,$8.93/TON,,
,,234 Van Lieus Rd East Amwell,,Sand Ew,$13.43/ton,,
,,10 east stadium dr Princeton,Must use Rt 1 to Harrison st ,Stone,$5.19/ton,,
,,"504 edgewood ave williamstown, nj",,sand,$5.83/TON,,
,,"523 Chestnut Ave Woodbury heights, NJ 08097",,stone,$14.00/TON,,
,,"4507 Leipzig Avenue, Hamilton, NJ 08330",,sand FR,$8.17/TON,,
,,2150 Rosedale Rd Quakertown PA 18951,,Sand FR,$20.20/TON,,
,,"23 New Jersey Ave, Atlantic City, NJ 08401",,Sand ,EW $8.87/TON,,
,,"23 New Jersey Ave, Atlantic City, NJ 08401",,Stone,$15.45/TON,,
,,"23 New Jersey Ave, Atlantic City, NJ 08401",,CC,BL - $11.19/TON,,
,, ,,STONE,$13.11/TON,,
,,5750 3RD ST NEW CUMBERLAND PA,,SALT,$30.45/TON,,
,,"71 QUARRY ST NUTLEY, NJ",,STONE,$12.60/TON,,
,,"71 QUARRY ST NUTLEY, NJ",,SAND EW,$17.05/TON,,
,,"593 RT 34 MATAWAN, NJ",,STONE,$10.20/TON,,
,,"1414 BORDENTOWN RD MORRISVILLE, PA",,STONE,$13.44/TON,,
,,GARDEN STATE PARKWAY SADDLEBROOK TOLL BOOTH,,STONE,$13.75/ton,,
,,GARDEN STATE PARKWAY SADDLEBROOK TOLL BOOTH,,SAND EW,$18.80/ton,,
,,"1659 SOUTH WASHINGTON AVE PISCATAWAY, NJ",,STONE,$6.78/ton,,
,,"1660 SOUTH WASHINGTON AVE PISCATAWAY, NJ",,SAND ,$11.34/ton,,
,,"1661 SOUTH WASHINGTON AVE PISCATAWAY, NJ",,CC ET,$7.91/ton,,
,,"821 Summer Ave, Minotola NJ 08341 ",,stone,$15.45/ton,,
,,"218 munn lane east cherry hill,nj",,stone,$12.16/ton,,
,,"E. Linden Ave & S. EMERSON AVE Lindenwold, NJ ",,sand ew,$13.24/TON,,
,,"Walnut Street Rd, Salem, NJ 08079",,stone,$19.63/TON,,
,,"51 Lawrenceville - Pennington Rd, Lawrence Township, NJ 08648",,stone,$6.08/TON,,
,,"51 Lawrenceville - Pennington Rd, Lawrence Township, NJ 08648",,sand ew,$10.39/TON,,
,,"Walnut Street Rd, Salem, NJ 08079",,sand ew,$19.51/TON,,
,,"2 Riverside Dr Ste 102, Camden, NJ 08103",,stone,$13.43/ton,,
,,"11 royal rd flemington, nj",,CC MV,$11.36/ton,,
,,"1 Munro Ave, Cape May, NJ 08204",,SAND PN,$11.21/ton,,
,,"3 preston dr Millstone, New Jersey 08535 United States
",,sand ,$11.08/ton,,
,marone,"2791 delsea dr, vineland, nj",,stone,$16.14/TON,,
,marone,"501 station ave haddon heights, nj",,stone,$12.41/TON,,
,,221 Hopewell Princeton Rd Hopewell,,Stone ,$4.31/TON,,
,,4 Ironwood Dr Ringoes,,Stone,$6.59/ton,,
,,5th St & Frank Sinatra Dr Hoboken,,Stone,$13.96/ton,,
,,Smithburg rd & Rt 33 Manalapan,,Stone,$9.37/ton,,
,,Smithburg rd & Rt 33 Manalapan,,Sand Ew,$10.45/ton,,
,,303 Hardscrabble Rd Bernardsville,,Sand Ew,$13.93/TON,,
,,"547 ROUN AVE WILLIAMSTOWN, NJ",,SAND,$3.80/TON,,
,,1035 Parkway Ave Ewing,,Stone ,$7.09/TON,,
,,"255 E Main St, Moorestown, NJ 08057",,stone,$11.02/TON,,
,,106 Carson Rd Princeton ,,Sand EW,$10.64/TON,,
,,"1085 n black horse pike Williamstown, nj  ",,Sand ,$4.18/TON,,
,,"260 NJ-72
Barnegat, NJ  08005",,Stone ,$11.88/ton,,
,,"19 South Front Street, Salem, NJ 08079",,stone,$18.43/ton,,
,,"255 E Main St, Moorestown, NJ 08057",,cc,WB $5.57/TON,,
,,12 Stringer Way Hillsborough ,,Stone,$4.18/ton,,
,,1705 Rt 37 Toms River NJ  ,,stone,$11.18/ton,,
,,1705 Rt 37 Toms River NJ  ,,cc,BR $5.73/TON,,
,,Gladney Ave and US RT9 Bayville NJ  ,,stone,$10.58/ton,,
,,Gladney Ave and US RT9 Bayville NJ  ,,cc,BR $5.54/TON,,
,,"108 Ferry Rd, Bridgeport, NJ 08014",,sand pn,$13.55/ton,,
,,735 Pascack rd Paramus,,Stone ,$14.06/ton,,
,,33 Rt 206N Somerville ,,Stone,$4.43/ton,,
,,445 Hollywood Ave South Plainfield ,,Stone,$7.41/ton,,
,,,,,,,
06/13/2025,PERFECT,"300 MAIN AVE, CLIFTON NJ",2 LOADS,#57/STONE,$12.41/ton,,
06/13/2025,CAMBRIDGE PAVERS,"90 MAIN ST., SOUTH AMBOY NJ, 08879",75K+ OF EACH,STONE & EW SAND,STN $8.68/TON--SND $11.40/TON,,
,CAMBRIDGE PAVERS,"1 JERMONE AVE., LYNDHURST NJ, 07071",75K+ OF EACH,STONE & EW SAND,STN $12.98/TON--SND $17.57/TON,,
,CAMBRIDGE PAVERS,"10 HAVENWOOD CT., LAKEWOOD NJ, 08701",75K+ OF EACH,STONE & EW SAND,STN $10.86/TON--SND $8.39/TON,,
,,,,,,,
,,3300 Rt 66 Neptune ,,Stone ,$11.44/TON,,
,,5th Ave & Main st. Bradley Beach,,Stone,$11.89/TON,,
,,"2001 Normandy Dr, New Cumberland, PA 17070",,SALT,$30.91/TON,,
,,31 OAKBROOK PL SOMERSET,1000 TONS 2-4' JETTY,STONE,$17.64/ton +FSC ,,
,,"2 Riverside Dr Ste 102, Camden, NJ 08103",,"24"" rip ",$23.43/ton +FSC,,
,,"318 Atlantic City Blvd, Bayville, NJ 08721",,stone,$10.58/ton,,
,,"155 Tomlinson Mill Rd, Marlton, NJ 08053",,stone,$12.79/ton,,
,,"N brewster rd vienland, nj",,stone ,$18.75/TON,,
,,"N brewster rd vienland, nj",,sand ,FR - $4.81/TON,,
,,136 Grand St Paterson,,Stone,$11.34/TON,,
,,425 E.Saddle River Rd Ridgewood,,Stone,$14.25/TON,,
,,2160 Oak Tree Rd Edison,,Stone,$8.30/TON,,
,,159 Princeton Hightstown rd East Windsor,,Sand EW,$10.01/TON,,
,,"124 High St E
Glassboro, NJ  08028
United States",,Stone ,$8.11/TON,,
,,"124 high st E glassboro, nj",,stone,$15.31/TON,,
,,500 Ben Fairless Dr Fairless Hills PA,,Sand EW,$16.30/TON,,
,,500 Ben Fairless Dr Fairless Hills PA,,Sand FR,$17.49/TON,,
,,135 Fairmount Dr Tewksbury,,Sand EW,$14.06/TON,,
,,500 Bellevue Court Atco NJ ,,stone,$13.49/TON,,
,,160 Fitzrandolph Rd Princeton,,Sand EW,$10.01/TON,,
06/17/2025,REGENCY,"261 JOE PARKER RD, LAKEWOOD NJ",TBD,STONE,$10.88/TON,,
06/17/2025,VIP,"1 COLLEGE DR., TOMS RIVER NJ (OCEAN COUNTY COLLEGE)",10+LOADS,STONE,$10.99/TON,,
,,"500 Boulevard of the Americas, Lakewood, NJ",,sand,$8.17/ton,,
,,2554 us rt 206 pemberton nj,,stone,10.58/TON,,
,,2555 us rt 206 pemberton nj,,sand ,10.39/TON,,
,,2556 us rt 206 pemberton nj,,cc,SH CC $3.80/TON,,
,,2 RockyBrook Rd Millstone ,,CC ET,$3.80/TON,,
,,1350 federal blvd Carteret nj    ,,STONE,$10.34/TON,,
,,872 Cranbury Rd South. Brunswick ,,Stone,$6.71/TON,,
,,872 Cranbury Rd South. Brunswick ,,Sand EW,$10.96/TON,,
,,"500 College Dr., Swarthmore, pa",,stone,$18.02/TON,,
,,h,,sand,$12.39/TON,,
,,271 Roberts Ave Philadelphia PA ,,stone,$17.21/TON,,
,,"527 E. Chestnut Ave Vineland, New Jersey 08360
",,sand ew+ fr,EW $13.48/TON-FR $5.07/TON,,
,,"528 E. Chestnut Ave Vineland, New Jersey 08360
",,stone ,$15.89/TON,,
,,"500 College Dr., Swarthmore, pa",,sand,FR $11.26/TON,,
,,Columbia Ave & Kearny Ave Kearny,,Sand EW,$16.10/TON,,
,,922 RT 33 mONROE,,Stone,$8.04/TON,,
,,922 Rt 33 Monroe,,Sand EW,$10.32/TON,,
,,922 Rt 33 Monroe,,CC ET,$3.80/TON,,
,,872 Cranbury Rd South Brunswick,MAPS AS MONROE TWP,CC ET,$5.38/TON,,
,,Main &5Th ave Bradley Beach,,Stone,$11.77/TON,,
,,Main & 5th Ave Bradley Beach,,CC BR,$4.81/TON,,
,,Fort Monmouth Avenue of Memories Oceanport,,Stone,$12.34/TON,,
06/18/2025,AE STONE,"1701 DENNISVILLE PETERSBURG RD., WOODBINE NJ",FIXED INSTALL,STONE,waiting,,
06/18/2025,AE STONE,"202 REEVES RD, BRIDGETON, NJ",FIXED INSTALL,,waiting,,
,,18A Mulford Lane Hillsborough,,Stone,$4.18/ton,,
,,1120 Old Bordentown rd MOrrisville PA,,Sand FR,FR $17.78/TON EW $16.59/TON,,
,,"325 Boston landing rd moorestwon, nj ",,Stone ,$11.21/ton,,
,,85 Whippany Rd Hanover Twp,,STONE,$8.61/TON,,
,,"1341 NJ-37 Toms River, NJ.",,stone,$10.99/TON,,
,,"1341 NJ-37 Toms River, NJ.",,cc,BR $5.59/TON,,
,,85 Whippany Rd Hanover Twp,,Sand EW,EW $14.63/ton,,
,,"1341 NJ-37 Toms River, NJ.",,sand,$6.94/TON,,
,,"2858 Route 322, Bridgeport NJ 08014",,sand,FR $7.66/TON,,
,,399 Princeton Hightstown Rd West Windsor,,CC ET,$4.05/TON,,
,,65 county Rt 54 Lincroft,*MAPS  AS COLT NECK*,Stone,$12.72/TON,,
06/19/2025,SEVENSON,"1692 CROWN POINT RD., WEST DEPTFORD, NJ 08086","15,000 TONS", SAND/FR,$7.03/TON,,
,,399 Princeton Hightstown Rd West Windsor,,CC BR,$8.68/TON,,
,,399 Princeton Hightstown Rd West Windsor,,CC MV ,$7.99/TON,,
,,"Beacon Street & Castle Ave in Jackson, NJ",,STONE,$10.99/TON,,
,,"1 Maple Ave CHerry Hill, nj",,stone,$11.91/TON,,
06/19/2025,AMERICAN TRACK,"310 JESSUP RD., WEST DEPTFORD, NJ 08086",300 TONS,STONE,$13.68/TON,,
,,"136 New Freedom Rd. Clementon, NJ 08021",,sand,$7.08/ton,,
,,"137 New Freedom Rd. Clementon, NJ 08021",,stone,$13.36/ton,,
,,"18 Diamond Road Rio Grande, NJ   08242",,sand pn,$10.26/TON,,
,,390 Ocean Ave Long Branch,,Stone,$13.10/TON,,
06/19/2025,MOSSI CONSTRUCITION,"4210 G ST., PHILADELPHIA PA",500 TONS,PN SAND,$15.42/TON,,
,,96 Executive Ave Edison ,,Stone,$8.17/TON,,
,,,,,,,
06/20/2025,QUALITY,"235 ELDRIDGE AVE., LAWRENCE TWP. NJ",1 LOAD,STONE,$6.97/TON,,
06/20/2025,QUALITY,"116 DELHAAS CIR, BRISTOL PA",NEW SITE,STONE,$11.36/TON,,
,,9 LALOR ST TRENTON,,STONE,$8.74/ton,,
,,934 Clinton St Irvington,,Stone,$9.75/TON,,
,,934 Clinton St Irvington,,Sand EW,$14.90/TON,,
,,FOOT OF COLONY RD JERSEY CITY ,12K 12-24' RIP RAP,STONE,$22.90/ton + FSC,,
,,AVENUE OF MEMORIES OCEANPORT,,SAND EW,$11.82/TON,,
,,"49 Fern Lane Hammonton, NJ 08037",,Sand ,FR $5.76/TON,,
,,"50 Fern Lane Hammonton, NJ 08037",,stone,$13.74/TON,,
,,"470 Atlantic City Blvd. Bayville, NJ 08721",,Stone,$10.64/TON,,
,,"246 Sykesville Rd, Chesterfield, NJ ",,stone,$10.39/TON,,
,,"1020 South Green St., Tuckerton NJ",,sand ew,$4.05/TON,,
,,"50 Fern Lane Hammonton, NJ 08037",,CC,BL $4.18/TON--WB $6.38/TON,,
,,1151 Fidler Rd Woodbine NJ,,Stone,$17.80/TON,,
,,"15th St & the bay Ship Bottom, NJ 08008",,sand,$4.05/TON,,
,,BAY AVE & DOWNER RD MANTOLOKING,,SAND EW,$9.41/TON,,
,,Nye Ave & Union Ave Irvington ,,Stone,$9.63/TON,,
,,1151 Fidler Rd Woodbine NJ,,sand,PN - $7.60/TON,,
,,"802 Lincoln Rd, Mullica Hill, NJ 08062, United States",,sand/stone,STONE - $16.53 / FR SAND - $7.22/TON,,
,,718 Perrinville rd millstone,,Stone ,$8.36/TON,,
,,4405 Rt 1 Princeton ,,Stone,$5.70/TON,,
,,350 Starke Rd Carlstadt,,Stone,$13.77/TON,,
,,"968 idlewild rd lower marion, pa",,stone ,$18.16/TON,,
,,"969 idlewild rd lower marion, pa",,cc,PHL $6.50/TON,,
,,                                    800 County Road 528 jackson nj,,stone,$10.04/TON,,
,,800 County Road 528 jackson nj,,cc,ET $6.46/TON,,
,,800 County Road 528 jackson nj,,cc,?,,
,,800 County Road 528 jackson nj,,cc,?,,
,,ET,,STONE,$16.43/TON,,
,,5212-30 N 9TH ST PHILADELPHIA PA,,SAND,FR $13.68/TON,,
,,41 Dolicie Lane Lawrence ,,Sand EW,$10.70/TON,,
,,34 Lawrence Court Hillsborough NJ,,STONE,$3.80/ton,,
,Agate,"1645 Ferry Ave, Camden, NJ 08104",,stone,$13.30/TON,,
,,"90 Cherry Street Whiting, NJ ",,stone,$10.32/TON,,
,,4405 Rt 1 Princeton ,,Sand EW,$10.51/TON,,
,,"1645 Ferry Ave, Camden, NJ 08104",,"RIP 28""",$23.43/ton +FSC,,
,,72 Phyllis Lane Manahawkin 08050,,Sand ew,$3.80/TON,,
,,1 International Blvd Mahwah,,Stone,$12.86/ton,,
,,1 International Blvd Mahwah,,Sand EW,$20.15/ton,,
,,Howard Blvd & Hillside Rd Mount Arlington,,Stone,$10.20/ton,,
,,Howard Blvd & Hillside Rd Mount Arlington,,Sand EW,$16.21/ton,,
,,600 HORIZON DRIVE HAMILTON NJ,,stone,$8.23/TON,,
,,"1800 N Broad Street, Philadelphia, PA",,STONE,$16.28/ton,,
,,"869 West Bay Avenue Barnegat, NJ 08005
",,stone,$10.61/ton,,
,,"869 West Bay Avenue Barnegat, NJ 08005
",,sand ,$3.80/ton,,
,,"869 West Bay Avenue Barnegat, NJ 08005
",,cc,$7.67/ton,,
,," West 27th Street & Bay Terrace ship bottom, nj",,stone,$11.75/TON,,
,,1001 Shrewsbury Ave Shrewsbury,,Sand EW,$11.94/ton,,
,,38 Phalanx Rd Colts neck ,,Stone ,$11.89/TON,,
,,502 Caren Franzini Way Oceanport,PLEASE CONFIRM THIS IS BREWER AVE,Stone,$12.53/TON,,
,,502 Caren Franzini Way Oceanport,PLEASE CONFIRM THIS IS BREWER AVE,Sand EW,$11.88/TON,,
,,219 Rt 202 Flemington,,Stone ,$6.46/ton,,
,,34 Leupp Lane Somerset ,,Stone,$7.16/ton,,
,,395 Schoolhouse Rd Monroe Twp,,Stone,$8.36/ton,,
,,"2626 Fries Mill Road Williamstown, New Jersey 08094
",,stone,$15.05/TON,,
,,"2 Riverside Dr Ste 102, Camden, NJ 08103",,stone,$13.65/TON,,
,,15 NEWMAN SPRINGS RD TINTON FALLS,,STONE,$12.27/TON,,
,,15 NEWMAN SPRINGS RD TINTON FALLS ,,CC BR,$7.22/TON,,
,,121 MONMOUTH ST RED BANK,,STONE,$12.14/TON,,
,,1 PENNINGTON AVE TRENTON,,STONE,$8.11/TON,,
,,600 BROAD ST PHILLIPSBURG,,STONE,$11.59/TON,,
,,600 BROAD ST PHILLIPSBURG,,SAND EW,$17.48/TON,,
,,8900 OLD RT 13 TULLYTOWN PA,,STONE,$12.08/TON,,
,,8900 OLD RT 13 TULLYTOWN PA,,SAND EW,$15.84/TON,,
,,8900 OLD RT 13 TULLYTOWN PA,,SAND FR,$15.34/TON,,
,,1 CAMP BUCK RD ANNANDALE,,SAND EW,$14.95/TON,,
,,500 MT.PISGAH AVE OXFORD,,STONE,$12.16/TON,,
,,"8015 US-130 Delran, NJ",,sand ,$12.60/TON,,
,,"8015 US-130 Delran, NJ",,stone ,$11.84/TON,,
,,"8015 US-130 Delran, NJ",,cc,WB $6.21/TON,,
,,65 COUNTY RT 54 LINCROFT,,STONE,$12.72/TON,,
,,380 MIDDLESEX AVE CARTERET,,STONE,$9.82/TON,,
,,380 MIDDLESEX AVE CARTERET,,SAND EW,$13.40/TON,,
,,kettle run rd & hopewell rd marlton nj,,sand,FR $6.33/TON,,
,,1 PLAINSBORO RD PLAINSBORO,,STONE,$5.57/TON,,
,,1 PLAINSBORO RD PALINSBORO,,CC ET,$5.51/TON,,
,,10 COLONY CT PARSIPPANY,,Stone,$9.63//TON,,
,,742 w front street chester.  pa,,cc,LM $9.74/TON,,
,,742 w front street chester.  pa,,Stone,$16.80/TON,,
,,"130 S. Fairview Rd, Crum Lynne, PA 19022",,STONE,$17.29/TON,,
,,"130 S. Fairview Rd, Crum Lynne,   PA 19022",,CC,LM $9.24/TON,,
,,"19 Buchanan Road, Sergeantsville, NJ 08557","*THIS IS COMING UP STOCKTON 08559, PLEASE VERIFY",Stone,$8.80/TON,,
,,"130 S. Fairview Rd, Crum Lynne,   PA 19022",,cc ph,PH - $7.36/TON,,
,,742 w front street chester.  pa,,CC PH,$7.57/TON,,
,,1052 Exton Ave Trenton,,Stone,$8.11/TON,,
,,275 Terhune Rd  Princeton ,,Stone,$4.43/TON,,
,,Wycoff Rd & Megill rd Wall,,Stone,$10.94/TON,,
,,Wycoff Rd & Megill rd Wall,,Sand EW,$10.07/TON,,
,,1920 Rt 22 Biund Brook,,Stone,$6.02/TON,,
,,324 New. Brooklyn Rd Berlin,,STONE,$14.44/TON,,
,,324 New. Brooklyn Rd Berlin,,Sand EW,$14.12/TON,,
,,"550 NJ-73, Marlton, NJ 08053.",,stone,$11.84/TON,,
,,414 Texas Rd Marlboro,,Stone,$10.51/TON,,
,,414 Texas Rd Marlboro,,Sand Ew,$11.59/TON,,
